Date Scraped,Title,Budget,Skills,Link
2025-06-14 - 16:34:47,data scraping expert looking,$1/ Hr,"Web Scraping, Python, Web Search, Data Entry",https://www.truelancer.com/freelance-project/data-scraping-expert-looking-593028
2025-06-14 - 16:34:48,Stellarium Sky Map Batch Automation,$100,"Python, Geographic Information System GIS",https://www.truelancer.com/freelance-project/stellarium-sky-map-batch-automation-589317
2025-06-14 - 16:34:49,AI Enabled Automation Specialist Excel–Word + GPT Integration,$90,"Web Scraping, Python, Automation, Excel VBA",https://www.truelancer.com/freelance-project/ai-enabled-automation-specialist-excelword-gpt-integration-592821
2025-06-14 - 16:34:53,Python client server,$4/ Hr,Python,https://www.truelancer.com/freelance-project/python-client-server-592446
2025-06-14 - 16:34:53,I need some one who can develop a advanced dashboard for a Quantum AI bot,$50,"Windows, Python, Docker, Artificial Intelligence",https://www.truelancer.com/freelance-project/i-need-some-one-who-can-develop-a-advanced-dashboard-for-a-quantum-ai-bot-592314
2025-06-14 - 16:34:56,Blockchain Crypto Exchange,$500,"PHP, Python, C++ Programming, Blockchain",https://www.truelancer.com/freelance-project/blockchain-crypto-exchange-592096
2025-06-14 - 16:34:57,We want to develop a software to simplify our daily work flow,$565,"Java, Python, software development, Core Java",https://www.truelancer.com/freelance-project/we-want-to-develop-a-software-to-simplify-our-daily-work-flow-591983
2025-06-14 - 16:34:58,Need erpnext ERP Developer  for Customisation & Integration,$565,"javascript, Python, Nginx, Redis",https://www.truelancer.com/freelance-project/need-erpnext-erp-developer-for-customisation-integration-591820
2025-06-14 - 16:34:58,Data Engineer for Product Analytics,$50/ Hr,"Python, sql, Apache Spark, Data Science",https://www.truelancer.com/freelance-project/data-engineer-for-product-analytics-591770
2025-06-14 - 16:35:00,Small Game based project with Python,$9,"Python, Django, Python Numpy",https://www.truelancer.com/freelance-project/small-game-based-project-with-python-591476
2025-06-14 - 16:35:02,This document outlines the plan for developing a stock market research and advisory website .,$3/ Hr,"Web Scraping, Python, Data Processing, Machine learning",https://www.truelancer.com/freelance-project/this-document-outlines-the-plan-for-developing-a-stock-market-research-and-advisory-website-591252
2025-06-14 - 16:35:03,Sales Data for AI & ML projects in Azure,$28,"Python, Artificial Intelligence, Azure",https://www.truelancer.com/freelance-project/sales-data-for-ai-ml-projects-in-azure-591153
2025-06-14 - 16:35:04,Need a part time VBA developer   Fixed Salary,$226,"Python, Excel VBA, VBA",https://www.truelancer.com/freelance-project/need-a-part-time-vba-developer-fixed-salary-590773
2025-06-14 - 16:35:08,"Software design & microcontroller coding for a 1,3,5 KVA pure sine wave inverter.",$2/ Hr,"Python, C Programming",https://www.truelancer.com/freelance-project/software-design-microcontroller-coding-for-a-135-kva-pure-sine-wave-inverter-590234
2025-06-14 - 16:35:08,"Build a Functional, Scalable B2B Proposal Generator Tool No MVPs – Real, Affordable Build",$300,"MySQL, CSS, Python",https://www.truelancer.com/freelance-project/build-a-functional-scalable-b2b-proposal-generator-tool-no-mvps-real-affordable-build-590334
2025-06-14 - 16:35:11,Looking for AI Engineer to Build a Fully Automated YouTube Video Agent.,$1000,"Web Scraping, Python, Artificial Intelligence, Automation",https://www.truelancer.com/freelance-project/looking-for-ai-engineer-to-build-a-fully-automated-youtube-video-agent-589709
2025-06-14 - 16:35:11,Getting Live data from API,$452,"Web Scraping, jquery, Python, json",https://www.truelancer.com/freelance-project/getting-live-data-from-api-589469
2025-06-14 - 16:35:12,AI Automation Expert,$100,"Java, Python, json",https://www.truelancer.com/freelance-project/ai-automation-expert-589579
2025-06-14 - 16:35:14,Batch Generation of Sky Maps Using Stellarium,$100,"Python, Digital Mapping",https://www.truelancer.com/freelance-project/batch-generation-of-sky-maps-using-stellarium-589272
2025-06-14 - 16:35:15,n8n Automation Specialist   Algorithmic Trading API Integration,$25,"Web Scraping, Python, Application Programming, Artificial Intelligence",https://www.truelancer.com/freelance-project/n8n-automation-specialist-algorithmic-trading-api-integration-589197
2025-06-14 - 16:35:15,"Python, SQLAlchemy, Microservices, AWS Lambda, API programming",$226,"Python, sql, AWS Lambda",https://www.truelancer.com/freelance-project/python-sqlalchemy-microservices-aws-lambda-api-programming-589084
2025-06-14 - 16:35:16,Python/C#/Java/.NET/VBA/Utilities developer,$100,"Java, Python, MongoDB, .NET Framework",https://www.truelancer.com/freelance-project/pythoncjavanetvbautilities-developer-589005
2025-06-14 - 16:35:16,Agentic AI / Pydantic / AI Agents / langchain / langraph / Claude Agents / FireCrawl / Crawler / n8n,$600,"Python, NodeJS, ReactJS, Web Crawler",https://www.truelancer.com/freelance-project/agentic-ai-pydantic-ai-agents-langchain-langraph-claude-agents-firecrawl-crawler-n8n-589004
2025-06-14 - 16:35:18,"To build a Python based tool that connects with the Kotak Securities API, fetches live options data",$3/ Hr,Python,https://www.truelancer.com/freelance-project/to-build-a-python-based-tool-that-connects-with-the-kotak-securities-api-fetches-live-options-data-588454
2025-06-14 - 16:35:18,Data Analytics & Dashboard Development for Risk Prioritization Project,$250,"Python, Excel, Machine learning, Power BI",https://www.truelancer.com/freelance-project/data-analytics-dashboard-development-for-risk-prioritization-project-588037
2025-06-14 - 16:35:19,VERY URGENT   Assignment help Advanced Algorithms and Data Structures,$23,"Python, Algorithm, Ada, Algorithm Development",https://www.truelancer.com/freelance-project/very-urgent-assignment-help-advanced-algorithms-and-data-structures-588111
2025-06-14 - 16:35:23,"Scrape 50,000+ Job Listings from LinkedIn with Company Name and Website with Filters",$57,"Web Scraping, Python",https://www.truelancer.com/freelance-project/scrape-50000-job-listings-from-linkedin-with-company-name-and-website-with-filters-587454
2025-06-14 - 16:35:26,Automated Drawing to Video Rendering Tool,$100,"Python, Rendering, Video production, threejs",https://www.truelancer.com/freelance-project/automated-drawing-to-video-rendering-tool-586429
2025-06-14 - 16:35:28,Meta Trader 5  EA Code development,$80,"Python, C++",https://www.truelancer.com/freelance-project/meta-trader-5-ea-code-development-582579
2025-06-14 - 16:35:28,"Need Developer for Real Time Face, Eye Blink, and Smile Detection Based Registration System Live Hu",$283,"javascript, Python, software development, OpenCV",https://www.truelancer.com/freelance-project/need-developer-for-real-time-face-eye-blink-and-smile-detection-based-registration-system-live-hu-585561
2025-06-14 - 16:35:28,Looking for a Professional 2,$10,"Python, Internet research",https://www.truelancer.com/freelance-project/looking-for-a-professional-2-585372
2025-06-14 - 16:35:28,Looking for a Professional,$10,"Python, Internet research",https://www.truelancer.com/freelance-project/looking-for-a-professional-585371
